Group_name,Team,FIFA_Ranking
Group A,Mexico,14
Group A,South Africa,60
Group A,South Korea,25
Group A,Czechia,39
Group B,Canada,30
Group B,Switzerland,19
Group B,Qatar,57
Group B,Bosnia and Herzegovina,64
Group C,Brazil,6
Group C,Morocco,7
Group C,Haiti,83
Group C,Scotland,42
Group D,United States,17
Group D,Paraguay,40
Group D,Australia,27
Group D,T³rkiye,22
Group E,Germany,10
Group E,Curaþao,82
Group E,C¶te d'Ivoire,33
Group E,Ecuador,23
Group F,Netherlands,8
Group F,Japan,18
Group F,Tunisia,46
Group F,Sweden,38
Group G,Belgium,9
Group G,Egypt,29
Group G,Iran,20
Group G,New Zealand,85
Group H,Spain,2
Group H,Cabo Verde,67
Group H,Saudi Arabia,61
Group H,Uruguay,16
Group I,France,3
Group I,Senegal,15
Group I,Norway,31
Group I,Iraq,56
Group J,Argentina,1
Group J,Algeria,28
Group J,Austria,24
Group J,Jordan,63
Group K,Portugal,5
Group K,Uzbekistan,50
Group K,Colombia,13
Group K,DR Congo,45
Group L,England,4
Group L,Croatia,11
Group L,Ghana,73
Group L,Panama,34
